partido_label;sexo_cod;sexo_label;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Total provincial;0;Ambos;15716942;15909607;16100618;16289599;16476149;16659931;16841135;17020012;17196396;17370144;17541141;17709598;17875743;18039509;18200851;18359753
Almirante Brown;0;Ambos;557025;561349;565509;569911;574263;578513;582541;586564;590418;594270;597969;601618;605271;608878;612438;616000
Avellaneda;0;Ambos;345752;346847;347924;348999;350080;351165;352246;353273;354314;355352;356392;357440;358512;359550;360583;361532
Berazategui;0;Ambos;326109;330277;334458;338647;342682;346658;350578;354447;358262;362021;365771;369294;372889;376431;379921;383458
Esteban Echeverría;0;Ambos;300785;308861;316567;323806;331031;337890;344795;351564;358342;364641;370900;377237;383538;389731;395856;402021
Ezeiza;0;Ambos;163287;169284;175333;181122;186842;192430;197895;203292;208615;213864;219031;224228;229276;234233;239220;244167
Florencio Varela;0;Ambos;426738;436751;446287;455672;464939;473950;482757;491652;500225;508671;517082;525270;533446;541606;549812;557936
General San Martín;0;Ambos;418017;418790;419531;420271;421009;421725;422440;423153;423877;424567;425265;425911;426556;427191;427783;428283
Hurlingham;0;Ambos;182604;183764;184914;186052;187174;188280;189371;190447;191508;192554;193583;194597;195596;196582;197553;198509
Ituzaingó;0;Ambos;169038;170292;171536;172766;173981;175177;176356;177521;178670;179801;180914;182011;182993;183959;184910;185845
José C. Paz;0;Ambos;267275;271557;275801;279999;284145;288228;292304;296279;300035;303896;307443;311187;314878;318364;321710;324990
La Matanza;0;Ambos;1777530;1830526;1883251;1935394;1986784;2037428;2087359;2136695;2185597;2233860;2281194;2327874;2374149;2419872;2464843;2509547
Lanús;0;Ambos;463555;463478;463401;463325;463251;463178;463106;463034;462964;462895;462827;462760;462693;462628;462564;462501
Lomas de Zamora;0;Ambos;621440;624289;627150;630029;632842;635593;638287;640916;643437;645880;648312;650678;652937;655122;657218;659249
Malvinas Argentinas;0;Ambos;324358;328087;331834;335491;339152;342798;346406;349867;353281;356643;359953;363263;366479;369648;372771;375896
Merlo;0;Ambos;531609;539009;546383;554007;561566;569165;576737;584267;591763;599119;606413;613509;620307;626975;633540;639681
Moreno;0;Ambos;454416;463151;472015;481041;489912;498713;507403;516093;524675;533292;541691;549930;558068;566103;574034;581729
Morón;0;Ambos;324279;323680;323076;322489;321920;321351;320781;320218;319674;319138;318632;318104;317584;317073;316559;316073
Quilmes;0;Ambos;586462;594412;602436;610259;618106;626006;633913;641742;649480;657123;664783;672199;679375;686466;693277;699997
San Fernando;0;Ambos;164452;165554;166646;167726;168793;169844;170880;171902;172911;173904;174883;175845;176795;177731;178654;179563
San Isidro;0;Ambos;295894;295428;294992;294597;294215;293848;293496;293157;292831;292520;292224;291963;291704;291448;291276;291097
San Miguel;0;Ambos;278019;280822;283603;286386;289135;291845;294370;296861;299319;301740;304122;306469;308784;311065;313312;315526
Tigre;0;Ambos;376515;386131;395623;404649;413442;422108;430660;438906;447040;455056;462998;470776;478432;485999;493467;500615
Tres de Febrero;0;Ambos;343338;343441;343537;343617;343701;343792;343877;343917;343961;344011;344067;344117;344172;344221;344296;344354
Vicente López;0;Ambos;272389;271677;271078;270598;270139;269705;269294;268897;268509;268064;267655;267257;266880;266538;266203;265885
Adolfo Alsina;0;Ambos;17222;17249;17276;17303;17330;17356;17382;17407;17433;17458;17483;17507;17532;17556;17580;17603
Adolfo Gonzales Chaves;0;Ambos;12168;12142;12116;12091;12065;12040;12016;11992;11968;11944;11922;11899;11877;11855;11832;11811
Alberti;0;Ambos;10746;10773;10799;10824;10850;10875;10900;10924;10948;10972;10995;11018;11041;11064;11085;11107
Arrecifes;0;Ambos;29252;29473;29690;29905;30117;30326;30532;30735;30936;31133;31328;31520;31709;31895;32078;32259
Ayacucho;0;Ambos;20505;20588;20671;20752;20832;20911;20990;21067;21143;21218;21291;21364;21436;21506;21577;21645
Azul;0;Ambos;65836;66029;66221;66411;66598;66782;66965;67144;67321;67495;67667;67835;68002;68167;68329;68487
Bahía Blanca;0;Ambos;304206;304829;305445;306056;306657;307250;307836;308413;308982;309544;310095;310639;311175;311704;312224;312738
Balcarce;0;Ambos;44190;44349;44506;44662;44816;44966;45116;45262;45408;45551;45691;45829;45967;46102;46234;46365
Baradero;0;Ambos;32969;33325;33677;34027;34371;34710;35045;35375;35701;36022;36338;36649;36956;37258;37556;37849
Benito Juárez;0;Ambos;20429;20440;20450;20461;20472;20482;20493;20503;20513;20523;20532;20542;20551;20561;20570;20579
Berisso;0;Ambos;89070;89877;90675;91466;92246;93015;93773;94522;95259;95987;96701;97406;98101;98786;99461;100126
Bolívar;0;Ambos;34468;34626;34783;34939;35092;35244;35393;35540;35684;35828;35969;36108;36244;36378;36512;36642
Bragado;0;Ambos;41710;41756;41801;41846;41891;41935;41978;42020;42062;42103;42144;42184;42223;42262;42301;42338
Brandsen;0;Ambos;26480;26960;27436;27906;28371;28828;29279;29725;30164;30597;31023;31442;31856;32263;32665;33061
Campana;0;Ambos;95041;96152;97252;98340;99415;100474;101518;102549;103565;104566;105552;106522;107480;108423;109352;110268
Cañuelas;0;Ambos;52059;53205;54342;55468;56579;57673;58752;59817;60867;61903;62921;63923;64913;65888;66849;67795
Capitán Sarmiento;0;Ambos;14576;14767;14957;15144;15329;15512;15692;15869;16044;16216;16387;16553;16718;16881;17041;17198
Carlos Casares;0;Ambos;22407;22544;22680;22815;22947;23078;23206;23334;23459;23583;23704;23824;23941;24059;24173;24286
Carlos Tejedor;0;Ambos;11680;11679;11678;11677;11676;11675;11674;11673;11672;11671;11671;11669;11669;11667;11667;11665
Carmen de Areco;0;Ambos;14809;14888;14967;15044;15121;15197;15271;15345;15418;15489;15560;15629;15697;15765;15831;15896
Castelli;0;Ambos;8270;8312;8354;8396;8437;8478;8517;8556;8595;8633;8671;8708;8744;8781;8816;8851
Chacabuco;0;Ambos;49052;49431;49806;50179;50546;50907;51263;51615;51962;52304;52640;52971;53298;53620;53937;54249
Chascomús;0;Ambos;42548;42992;43432;43868;44299;44722;45140;45552;45958;46359;46754;47141;47524;47902;48273;48640
Chivilcoy;0;Ambos;64671;65066;65458;65845;66228;66605;66976;67343;67705;68062;68412;68758;69099;69435;69766;70091
Colón;0;Ambos;25063;25276;25487;25695;25901;26105;26305;26503;26697;26889;27078;27264;27447;27629;27806;27982
Coronel de Marina Leonardo Rosales;0;Ambos;62712;62796;62880;62962;63044;63124;63203;63281;63358;63433;63508;63581;63654;63725;63795;63864
